time,sensor,x,y,z,sensor,x,y,z,sensor,x,y,z,activity
302145.40887, 3,  -0.096,  0.373,  9.581, 4,  -0.025, -0.001, -0.012, 5,  25.260,  6.180,  9.600, 2 
 302145.46883, 3,  -0.124,  0.311,  9.705, 4,  -0.025, -0.001, -0.012, 5,  25.260,  6.240,  9.600, 2 
 302145.52864, 3,  -0.105,  0.406,  9.600, 4,  -0.025, -0.001, -0.012, 5,  25.260,  6.240,  9.600, 2 
 302145.58856, 3,  -0.057,  0.382,  9.777, 4,  -0.025, -0.001, -0.012, 5,  25.260,  6.240,  9.660, 2 
 302145.64834, 3,  -0.057,  0.382,  9.777, 4,  -0.025, -0.001, -0.012, 5,  25.260,  6.240,  9.720, 2 
 302166.29914, 3,   0.139, -0.321, 11.583, 2 
 302166.35897, 3,  -0.302,  1.220,  9.423, 4,  -0.025, -0.001, -0.012, 5,  25.320,  6.360, 10.020, 2 
 302166.41882, 3,   0.369,  1.249,  8.863, 4,  -0.025, -0.001, -0.012, 5,  25.320,  6.300, 10.020, 2 
 302166.48935, 3,   0.263,  1.350,  9.270, 4,  -0.025, -0.001, -0.012, 5,  25.380,  6.240,  9.960, 2 
 302166.53859, 3,   1.489,  2.231,  8.513, 4,  -0.025, -0.001, -0.012, 5,  25.380,  6.180,  9.960, 2 
 302166.59904, 3,   1.312,  3.830,  8.140, 4,  -0.025, -0.001, -0.012, 5,  25.320,  6.060,  9.900, 2 
 302166.65870, 3,   1.010,  4.419,  7.551, 4,  -0.025, -0.001, -0.012, 5,  25.320,  6.000,  9.900, 2 
 302166.71832, 3,   1.312,  6.148,  5.923, 4,   1.176,  0.107,  0.335, 5,  25.260,  5.940,  9.840, 2 
 302166.77981, 3,   1.010,  7.225,  5.075, 4,   1.046,  0.203,  0.402, 5,  25.200,  5.820,  9.780, 2 
 302166.83782, 3,   1.753,  6.727,  6.387, 4,   0.217,  0.281,  0.289, 5,  25.080,  5.760,  9.720, 2 
 302166.89867, 3,   1.853,  6.152,  7.718, 4,  -0.718,  0.183,  0.321, 5,  24.900,  5.700,  9.660, 2 
 302166.95765, 3,   1.686,  6.009,  8.317, 4,  -0.656, -0.191,  0.183, 5,  24.720,  5.640,  9.540, 2 
 302167.01761, 3,   1.920,  5.382,  7.254, 4,  -0.157,  0.112,  0.021, 5,  24.540,  5.580,  9.420, 2 
 302167.07740, 3,   0.867,  5.080,  8.226, 4,  -0.202, -0.103,  0.016, 5,  24.360,  5.520,  9.240, 2 
 302167.13726, 3,   0.924,  4.228,  8.585, 4,  -0.660, -0.018, -0.124, 5,  24.180,  5.520,  9.060, 2 
 302167.19745, 3,   0.369,  4.132,  8.901, 4,  -0.667,  0.145, -0.102, 5,  23.940,  5.460,  8.820, 2 
 302167.25712, 3,   0.589,  4.070,  8.662, 4,  -0.356, -0.154, -0.182, 5,  23.760,  5.520,  8.640, 2 
 302167.31701, 3,   0.086,  4.769,  8.336, 4,  -0.095,  0.336, -0.114, 5,  23.580,  5.520,  8.460, 2 
 302167.37661, 3,   0.680,  4.740, 13.302, 4,  -0.410,  0.001, -0.045, 5,  23.400,  5.580,  8.280, 2 
 302167.43669, 3,   1.039,  4.486, 12.947, 4,  -0.679, -0.119,  0.145, 5,  23.160,  5.640,  8.100, 2 
 302167.49637, 3,   0.996,  4.381, 12.459, 4,  -0.444, -0.075,  0.069, 5,  22.980,  5.700,  7.920, 2 
 302167.55647, 3,   0.488,  4.046,  7.187, 4,   0.103,  0.050,  0.074, 5,  22.800,  5.760,  7.740, 2 
 302167.61621, 3,   0.833,  3.548, 10.424, 4,  -0.013,  0.103,  0.025, 5,  22.680,  5.880,  7.620, 2 
 302167.67635, 3,   1.207,  2.772,  9.284, 4,  -0.428,  0.015,  0.347, 5,  22.500,  6.000,  7.500, 2 
 302167.73611, 3,   0.972,  2.901, 10.002, 4,  -0.311,  0.115,  0.284, 5,  22.440,  6.180,  7.440, 2 
 302167.79584, 3,   0.924,  2.963,  9.389, 4,   0.037, -0.018,  0.178, 5,  22.440,  6.300,  7.380, 2 
 302167.85618, 3,   0.373,  3.169,  9.035, 4,   0.189,  0.135,  0.118, 5,  22.500,  6.420,  7.380, 2 
 302167.91576, 3,   0.522,  2.877,  9.346, 4,   0.009,  0.213,  0.197, 5,  22.620,  6.540,  7.380, 2 
 302167.97563, 3,   0.048,  2.772,  9.519, 4,  -0.127,  0.181,  0.272, 5,  22.740,  6.660,  7.440, 2 
 302168.03567, 3,  -0.211,  2.690,  9.370, 4,  -0.061,  0.332,  0.211, 5,  22.860,  6.840,  7.500, 2 
 302168.09553, 3,  -0.364,  2.963,  9.461, 4,   0.138,  0.371,  0.294, 5,  23.040,  6.900,  7.620, 2 
 302168.15551, 3,  -0.220,  2.647,  9.524, 4,  -0.089,  0.381,  0.424, 5,  23.280,  7.020,  7.800, 2 
 302168.21559, 3,  -0.168,  2.758,  9.102, 4,  -0.065,  0.428,  0.521, 5,  23.520,  7.020,  8.040, 2 
 302168.27545, 3,  -0.067,  2.839,  8.891, 4,  -0.050,  0.422,  0.577, 5,  23.760,  7.020,  8.340, 2 
 302168.33453, 3,   0.680,  2.638,  8.805, 4,  -0.127,  0.297,  0.631, 5,  24.000,  6.900,  8.640, 2 
 302168.39492, 3,   0.584,  2.619,  9.227, 4,  -0.357,  0.316,  0.730, 5,  24.240,  6.720,  9.180, 2 
 302168.45475, 3,   1.211,  2.604,  9.064, 4,  -0.268,  0.293,  0.568, 5,  24.480,  6.420,  9.780, 2 
 302168.51465, 3,   0.848,  2.552,  9.016, 4,  -0.263,  0.177,  0.576, 5,  24.720,  6.000, 10.560, 2 
 302168.57457, 3,   0.757,  1.809,  8.973, 4,  -0.474,  0.112,  0.279, 5,  24.960,  5.400, 11.280, 2 
 302168.63411, 3,   3.965,  0.842, 16.615, 4,  -0.834, -0.007,  0.152, 5,  25.140,  4.740, 12.120, 2 
 302168.69416, 3,   0.220,  1.364,  9.883, 4,  -1.206, -0.110, -0.055, 5,  25.260,  3.900, 12.900, 2 
 302168.75384, 3,   0.819,  1.268,  9.394, 4,   0.476, -0.106, -0.459, 5,  25.380,  2.940, 13.740, 2 
 302168.81393, 3,   0.340,  1.560,  9.715, 4,   0.180, -0.488, -0.473, 5,  25.440,  2.040, 14.460, 2 
 302168.87356, 3,   0.498,  1.934,  9.902, 4,   0.113, -0.280, -0.298, 5,  25.500,  1.080, 15.240, 2 
 302168.93313, 3,   0.608,  1.699, 10.089, 4,  -0.003,  0.176, -0.068, 5,  25.560,  0.180, 16.020, 2 
 302168.99353, 3,   0.397,  1.474,  9.768, 4,   0.083,  0.130,  0.280, 5,  25.560, -0.780, 16.800, 2 
 302169.05343, 3,   0.335,  1.604,  9.667, 4,   0.047,  0.278,  0.453, 5,  25.560, -1.680, 17.520, 2 
 302169.11317, 3,   0.139,  1.733,  9.974, 4,   0.177,  0.177,  0.384, 5,  25.560, -2.580, 18.240, 2 
 302169.17318, 3,   0.101,  2.331,  9.734, 4,   0.355,  0.103,  0.318, 5,  25.500, -3.420, 18.900, 2 
 302169.23244, 3,   0.158,  0.957,  9.308, 4,   0.521,  0.219,  0.117, 5,  25.440, -4.260, 19.560, 2 
