time,sensor,x,y,z,sensor,x,y,z,sensor,x,y,z
294169.96504, 3,  -0.978,  1.769,  9.048 
 294170.02471, 3,  -0.742,  1.568,  9.971, 4,  -0.007, -0.069,  0.040 
 294170.08465, 3,  -0.822,  1.699,  9.790, 4,  -0.006,  0.044, -0.038 
 294170.14460, 3,  -0.882,  1.633,  9.326, 4,  -0.010, -0.040, -0.014 
 294170.20429, 3,  -0.800,  1.645,  9.627, 4,   0.009, -0.009, -0.023, 5, -57.240, 15.840,-50.220 
 294170.26433, 3,  -0.810,  1.604,  9.784, 4,  -0.053,  0.019, -0.010, 5, -49.620, 13.620,-44.280 
 294170.32409, 3,  -0.795,  1.592,  9.415, 4,   0.012, -0.017, -0.032, 5, -42.060, 11.460,-38.280 
 294170.38432, 3,  -0.800,  1.621,  9.576, 4,   0.003, -0.011, -0.031, 5, -34.500,  9.240,-32.280 
 294170.44374, 3,  -0.857,  1.625,  9.867, 4,  -0.055,  0.010, -0.021, 5, -26.940,  7.080,-26.340 
 294170.50362, 3,  -0.816,  1.664,  9.473, 4,  -0.003, -0.006, -0.021, 5, -19.320,  4.920,-20.340 
 294170.56366, 3,  -0.784,  1.585,  9.579, 4,  -0.006, -0.014, -0.021, 5, -11.760,  2.760,-14.340 
 294170.62339, 3,  -0.829,  1.637,  9.711, 4,  -0.010, -0.006, -0.012, 5,  -4.200,  0.600, -8.400 
 294170.68346, 3,  -0.914,  1.680,  9.665, 4,  -0.024, -0.031, -0.001, 5,   3.360, -1.500, -2.400 
 294170.74317, 3,  -0.857,  1.657,  9.637, 4,   0.038, -0.003, -0.037, 5,  10.920, -3.600,  3.600 
 294170.80305, 3,  -0.831,  1.618,  9.708, 4,  -0.043, -0.008, -0.004, 5,  18.480, -5.700,  9.600 
 294170.86277, 3,  -0.790,  1.615,  9.706, 4,   0.009,  0.031,  0.006, 5,  26.040, -7.800, 15.660 
 294170.92268, 3,  -0.818,  1.630,  9.564, 4,  -0.015, -0.018, -0.001, 5,  33.600, -9.900, 21.720 
 294170.98253, 3,  -0.855,  1.630,  9.608, 4,   0.002, -0.036, -0.012, 5,  33.660, -9.780, 21.720 
 294171.04285, 3,  -0.916,  1.748,  9.666, 4,  -0.006, -0.019, -0.005, 5,  33.660, -9.720, 21.840 
 294171.10242, 3,  -0.991,  1.847,  9.677, 4,  -0.011,  0.003, -0.006, 5,  33.660, -9.600, 21.960 
 294171.16214, 3,  -0.971,  1.851,  9.577, 4,   0.058, -0.014,  0.021, 5,  33.660, -9.540, 22.080 
 294171.22220, 3,  -0.837,  1.805,  9.659, 4,   0.017,  0.013,  0.059, 5,  33.600, -9.420, 22.140 
 294171.28232, 3,  -0.880,  1.958,  9.589, 4,   0.054,  0.009,  0.095, 5,  33.600, -9.360, 22.260 
 294171.34181, 3,  -0.729,  1.726,  9.519, 4,   0.102, -0.017,  0.076, 5,  33.540, -9.240, 22.380 
 294171.40234, 3,  -0.819,  2.005,  9.347, 4,   0.179,  0.030,  0.111, 5,  33.540, -9.180, 22.500 
 294171.46178, 3,  -0.662,  1.797,  9.746, 4,   0.183,  0.050,  0.114, 5,  33.480, -9.120, 22.680 
 294171.52137, 3,  -0.614,  1.929,  9.591, 4,  -0.039, -0.003,  0.101, 5,  33.420, -9.120, 22.920 
 294171.58157, 3,  -0.565,  1.771,  9.675, 4,  -0.040, -0.044,  0.084, 5,  33.240, -9.060, 23.160 
 294171.64109, 3,  -0.624,  1.909,  9.557, 4,  -0.025, -0.021,  0.005, 5,  33.060, -9.060, 23.460 
 294171.70140, 3,  -0.645,  1.947,  9.580, 4,  -0.035, -0.055, -0.008, 5,  32.820, -9.060, 23.880 
 294171.76071, 3,  -0.672,  1.957,  9.440, 4,  -0.019, -0.039, -0.003, 5,  32.520, -9.120, 24.420 
 294171.82065, 3,  -0.649,  1.957,  9.686, 4,   0.024,  0.007, -0.043, 5,  32.220, -9.120, 24.840 
 294171.88110, 3,  -0.703,  2.005,  9.537, 4,  -0.084, -0.007, -0.012, 5,  31.920, -9.180, 25.380 
 294171.94040, 3,  -0.787,  2.015,  9.479, 4,   0.035,  0.005, -0.032, 5,  31.620, -9.180, 25.920 
 294172.00121, 3,  -0.767,  2.027,  9.659, 4,  -0.060, -0.018, -0.020, 5,  31.320, -9.180, 26.460 
 294172.06004, 3,  -0.594,  1.926,  9.779, 4,  -0.089,  0.018,  0.010, 5,  30.960, -9.240, 26.940 
 294172.12023, 3,  -0.707,  1.933,  9.538, 4,   0.004,  0.009, -0.003, 5,  30.660, -9.300, 27.420 
 294172.17990, 3,  -0.584,  1.832,  9.595, 4,   0.005, -0.033, -0.012, 5,  30.300, -9.300, 27.960 
 294172.23975, 3,  -0.624,  1.903,  9.701, 4,   0.031,  0.008, -0.011, 5,  30.000, -9.360, 28.440 
 294172.29948, 3,  -0.520,  1.893,  9.412, 4,   0.040, -0.011, -0.019, 5,  29.700, -9.420, 28.980 
 294172.35943, 3,  -0.633,  1.870,  9.498, 4,  -0.009, -0.039, -0.047, 5,  29.400, -9.420, 29.520 
 294172.41961, 3,  -0.593,  1.777,  9.665, 4,  -0.031, -0.017, -0.071, 5,  29.100, -9.480, 30.000 
 294172.47940, 3,  -0.676,  1.779,  9.699, 4,  -0.059,  0.031, -0.041, 5,  28.800, -9.540, 30.480 
 294172.53940, 3,  -0.676,  1.823,  9.591, 4,  -0.027, -0.018, -0.071, 5,  28.560, -9.600, 30.900 
 294172.59886, 3,  -0.732,  1.909,  9.751, 4,  -0.034, -0.011, -0.058, 5,  28.440, -9.720, 31.260 
 294172.65906, 3,  -0.818,  2.006,  9.634, 4,  -0.035,  0.011, -0.052, 5,  28.320, -9.780, 31.440 
 294172.71877, 3,  -0.665,  1.857,  9.571, 4,   0.014,  0.031, -0.053, 5,  28.260, -9.840, 31.620 
